"TextTitle","Text_Author","TotalSentences","SentencesWithTokens","PercentageSentencesWithTokens","TotalTokens","AvgSentenceLengthInChars","AvgSentenceLengthInWords","POSDistribution"
"Мать","Максим Горький","7841","20","0.26","48","113.21","17.44","{""ADJ"": 7, ""ADP"": 3, ""ADV"": 1, ""AUX"": 1, ""NOUN"": 13, ""PRON"": 1, ""CCONJ"": 2, ""PROPN"": 1, ""VERB_HEAD"": 17}"
"Приглашение на казнь","Владимир Владимирович Набоков","2431","6","0.25","17","240.29","42.12","{""ADJ"": 4, ""ADP"": 1, ""NOUN"": 2, ""PART"": 1, ""VERB"": 2, ""CCONJ"": 1, ""PUNCT"": 2, ""VERB_HEAD"": 4}"
"Голова профессора Доуэля","Александр Романович Беляев","4038","10","0.25","30","126.50","20.70","{""ADJ"": 4, ""ADP"": 1, ""NOUN"": 12, ""CCONJ"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 9}"
"Обломов","Иван Александрович Гончаров","11432","27","0.24","55","188.60","29.58","{""ADJ"": 5, ""ADP"": 7, ""ADV"": 1, ""DET"": 2, ""NOUN"": 11, ""PART"": 1, ""VERB"": 2, ""CCONJ"": 4, ""PROPN"": 1, ""VERB_HEAD"": 16}"
"Анна Каренина","Лев Николаевич Толстой","19359","42","0.22","108","202.14","31.69","{""ADJ"": 14, ""ADP"": 9, ""ADV"": 1, ""DET"": 3, ""NOUN"": 24, ""PRON"": 2, ""VERB"": 7, ""CCONJ"": 1, ""PROPN"": 2, ""SCONJ"": 1, ""VERB_HEAD"": 32}"
"Как закалялась сталь","Николай Алексеевич Островский","9734","21","0.22","50","113.88","16.70","{""ADJ"": 11, ""ADP"": 3, ""AUX"": 1, ""NOUN"": 11, ""PRON"": 1, ""VERB"": 2, ""CCONJ"": 2, ""SCONJ"": 1, ""VERB_HEAD"": 16}"
"Человек-амфибия","Александр Романович Беляев","14677","28","0.19","55","90.45","13.05","{""ADJ"": 9, ""ADP"": 4, ""DET"": 1, ""NOUN"": 7, ""PART"": 1, ""CCONJ"": 1, ""PUNCT"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 24}"
"Преступление и наказание","Фёдор Михайлович Достоевский","13308","24","0.18","52","228.40","33.17","{""ADJ"": 13, ""ADP"": 2, ""ADV"": 2, ""DET"": 1, ""NOUN"": 9, ""PART"": 2, ""VERB"": 5, ""CCONJ"": 3, ""PROPN"": 1, ""VERB_HEAD"": 10}"
"Обрыв","Иван Александрович Гончаров","17343","29","0.17","55","139.42","22.16","{""ADJ"": 3, ""ADP"": 4, ""ADV"": 1, ""DET"": 2, ""NOUN"": 10, ""PRON"": 1, ""VERB"": 4, ""CCONJ"": 4, ""PROPN"": 1, ""PUNCT"": 1, ""VERB_HEAD"": 19}"
"Собрание повестей и рассказов в одном томе","Фёдор Михайлович Достоевский","39534","54","0.14","123","205.35","31.76","{""ADJ"": 22, ""ADP"": 9, ""ADV"": 1, ""AUX"": 1, ""DET"": 11, ""NUM"": 2, ""NOUN"": 19, ""PART"": 1, ""PRON"": 1, ""VERB"": 4, ""CCONJ"": 2, ""PUNCT"": 1, ""SCONJ"": 2, ""VERB_HEAD"": 37}"
"Леди Макбет Мценского уезда","Николай Семенович Лесков","954","1","0.10","3","302.00","42.00","{""ADJ"": 1, ""NOUN"": 1, ""VERB_HEAD"": 1}"
"Братья Карамазовы","Фёдор Михайлович Достоевский","19051","17","0.09","35","213.80","35.51","{""ADJ"": 2, ""ADP"": 6, ""ADV"": 3, ""NOUN"": 5, ""PART"": 1, ""CCONJ"": 2, ""VERB_HEAD"": 14}"
"Ревизор","Николай Васильевич Гоголь","2506","2","0.08","3","159.00","24.67","{""ADJ"": 1, ""ADV"": 1, ""DET"": 1}"
"Бесы","Фёдор Михайлович Достоевский","14554","10","0.07","19","136.47","21.84","{""ADJ"": 1, ""ADP"": 1, ""ADV"": 1, ""DET"": 3, ""NOUN"": 1, ""PART"": 1, ""VERB"": 2, ""CCONJ"": 2, ""VERB_HEAD"": 6}"
"Идиот","Фёдор Михайлович Достоевский","13610","8","0.06","12","186.50","30.33","{""ADJ"": 1, ""ADP"": 1, ""DET"": 1, ""NOUN"": 1, ""VERB_HEAD"": 7}"
"Вишневый сад","Антон Павлович Чехов","1755","1","0.06","3","90.00","13.00","{""ADP"": 1, ""PART"": 1, ""VERB_HEAD"": 1}"
"Уральские сказы","Павел Петрович Бажов","9857","6","0.06","10","57.00","7.20","{""ADP"": 3, ""VERB_HEAD"": 6}"
"Иван Васильевич","Михаил Афанасьевич Булгаков","1696","1","0.06","2","22.00","4.00","{""ADP"": 1, ""VERB_HEAD"": 1}"
"На дне","Максим Горький","2571","1","0.04","3","47.00","8.00","{""NOUN"": 1, ""PROPN"": 2}"
